image_id,image_path,macro_stage,parent_image_id,field_id,capture_session,country,cover,panicle_frac,senescent_frac,review_flag,source,split
IMG_5030_subset_overlap_2_4,segmentation/China/GD/rgb/IMG_5030_subset_overlap_2_4.jpg,reproductive,China/GD/IMG_5030,riceseg:China/GD/IMG_5030,China/GD,China,0.888,0.0712,0.0,0,riceseg,unassigned
IMG_5034_subset_overlap_0_5,segmentation/China/GD/rgb/IMG_5034_subset_overlap_0_5.jpg,stem_booting,China/GD/IMG_5034,riceseg:China/GD/IMG_5034,China/GD,China,0.9389,0.0033,0.0186,1,riceseg,unassigned
IMG_5034_subset_overlap_3_3,segmentation/China/GD/rgb/IMG_5034_subset_overlap_3_3.jpg,reproductive,China/GD/IMG_5034,riceseg:China/GD/IMG_5034,China/GD,China,0.8975,0.0613,0.0311,1,riceseg,unassigned
IMG_5034_subset_overlap_4_3,segmentation/China/GD/rgb/IMG_5034_subset_overlap_4_3.jpg,grain_filling,China/GD/IMG_5034,riceseg:China/GD/IMG_5034,China/GD,China,0.8107,0.0736,0.1057,0,riceseg,unassigned
IMG_5035_subset_overlap_2_1,segmentation/China/GD/rgb/IMG_5035_subset_overlap_2_1.jpg,reproductive,China/GD/IMG_5035,riceseg:China/GD/IMG_5035,China/GD,China,0.8774,0.1057,0.024,1,riceseg,unassigned
IMG_5036_subset_overlap_2_4,segmentation/China/GD/rgb/IMG_5036_subset_overlap_2_4.jpg,reproductive,China/GD/IMG_5036,riceseg:China/GD/IMG_5036,China/GD,China,0.936,0.0838,0.0162,1,riceseg,unassigned
IMG_5036_subset_overlap_4_5,segmentation/China/GD/rgb/IMG_5036_subset_overlap_4_5.jpg,reproductive,China/GD/IMG_5036,riceseg:China/GD/IMG_5036,China/GD,China,0.8963,0.089,0.037,1,riceseg,unassigned
IMG_5036_subset_overlap_4_6,segmentation/China/GD/rgb/IMG_5036_subset_overlap_4_6.jpg,grain_filling,China/GD/IMG_5036,riceseg:China/GD/IMG_5036,China/GD,China,0.8961,0.1148,0.0527,1,riceseg,unassigned
IMG_5038_subset_overlap_1_1,segmentation/China/GD/rgb/IMG_5038_subset_overlap_1_1.jpg,reproductive,China/GD/IMG_5038,riceseg:China/GD/IMG_5038,China/GD,China,0.8762,0.0622,0.0073,1,riceseg,unassigned
IMG_5039_subset_overlap_2_2,segmentation/China/GD/rgb/IMG_5039_subset_overlap_2_2.jpg,reproductive,China/GD/IMG_5039,riceseg:China/GD/IMG_5039,China/GD,China,0.8768,0.2891,0.0135,1,riceseg,unassigned
IMG_5042_subset_overlap_1_0,segmentation/China/GD/rgb/IMG_5042_subset_overlap_1_0.jpg,reproductive,China/GD/IMG_5042,riceseg:China/GD/IMG_5042,China/GD,China,0.932,0.0768,0.0078,1,riceseg,unassigned
IMG_5042_subset_overlap_2_5,segmentation/China/GD/rgb/IMG_5042_subset_overlap_2_5.jpg,reproductive,China/GD/IMG_5042,riceseg:China/GD/IMG_5042,China/GD,China,0.9157,0.1609,0.009,1,riceseg,unassigned
IMG_5042_subset_overlap_2_6,segmentation/China/GD/rgb/IMG_5042_subset_overlap_2_6.jpg,reproductive,China/GD/IMG_5042,riceseg:China/GD/IMG_5042,China/GD,China,0.9601,0.1541,0.0057,1,riceseg,unassigned
IMG_5042_subset_overlap_4_5,segmentation/China/GD/rgb/IMG_5042_subset_overlap_4_5.jpg,reproductive,China/GD/IMG_5042,riceseg:China/GD/IMG_5042,China/GD,China,0.9267,0.0763,0.0281,1,riceseg,unassigned
IMG_5043_subset_overlap_1_0,segmentation/China/GD/rgb/IMG_5043_subset_overlap_1_0.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.9488,0.2013,0.0041,1,riceseg,unassigned
IMG_5043_subset_overlap_1_3,segmentation/China/GD/rgb/IMG_5043_subset_overlap_1_3.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.9484,0.1509,0.0009,1,riceseg,unassigned
IMG_5043_subset_overlap_2_0,segmentation/China/GD/rgb/IMG_5043_subset_overlap_2_0.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.9484,0.142,0.0041,1,riceseg,unassigned
IMG_5043_subset_overlap_2_1,segmentation/China/GD/rgb/IMG_5043_subset_overlap_2_1.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.9152,0.192,0.0122,1,riceseg,unassigned
IMG_5043_subset_overlap_3_0,segmentation/China/GD/rgb/IMG_5043_subset_overlap_3_0.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.9169,0.2416,0.0423,1,riceseg,unassigned
IMG_5043_subset_overlap_3_3,segmentation/China/GD/rgb/IMG_5043_subset_overlap_3_3.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.9347,0.2159,0.0326,1,riceseg,unassigned
IMG_5043_subset_overlap_3_5,segmentation/China/GD/rgb/IMG_5043_subset_overlap_3_5.jpg,grain_filling,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.907,0.1904,0.0666,1,riceseg,unassigned
IMG_5043_subset_overlap_4_1,segmentation/China/GD/rgb/IMG_5043_subset_overlap_4_1.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.8835,0.1584,0.0436,1,riceseg,unassigned
IMG_5043_subset_overlap_4_5,segmentation/China/GD/rgb/IMG_5043_subset_overlap_4_5.jpg,reproductive,China/GD/IMG_5043,riceseg:China/GD/IMG_5043,China/GD,China,0.9056,0.1553,0.0462,1,riceseg,unassigned
IMG_5044_subset_overlap_0_1,segmentation/China/GD/rgb/IMG_5044_subset_overlap_0_1.jpg,reproductive,China/GD/IMG_5044,riceseg:China/GD/IMG_5044,China/GD,China,0.9724,0.1173,0.0129,1,riceseg,unassigned
IMG_5044_subset_overlap_1_1,segmentation/China/GD/rgb/IMG_5044_subset_overlap_1_1.jpg,reproductive,China/GD/IMG_5044,riceseg:China/GD/IMG_5044,China/GD,China,0.9417,0.1147,0.0464,1,riceseg,unassigned
IMG_5044_subset_overlap_4_0,segmentation/China/GD/rgb/IMG_5044_subset_overlap_4_0.jpg,grain_filling,China/GD/IMG_5044,riceseg:China/GD/IMG_5044,China/GD,China,0.8497,0.2615,0.1119,0,riceseg,unassigned
IMG_5044_subset_overlap_4_2,segmentation/China/GD/rgb/IMG_5044_subset_overlap_4_2.jpg,grain_filling,China/GD/IMG_5044,riceseg:China/GD/IMG_5044,China/GD,China,0.8858,0.1007,0.1598,1,riceseg,unassigned
IMG_5044_subset_overlap_4_5,segmentation/China/GD/rgb/IMG_5044_subset_overlap_4_5.jpg,grain_filling,China/GD/IMG_5044,riceseg:China/GD/IMG_5044,China/GD,China,0.9026,0.2077,0.0741,1,riceseg,unassigned
IMG_5045_subset_overlap_1_6,segmentation/China/GD/rgb/IMG_5045_subset_overlap_1_6.jpg,reproductive,China/GD/IMG_5045,riceseg:China/GD/IMG_5045,China/GD,China,0.9508,0.1535,0.0449,1,riceseg,unassigned
IMG_5045_subset_overlap_2_2,segmentation/China/GD/rgb/IMG_5045_subset_overlap_2_2.jpg,reproductive,China/GD/IMG_5045,riceseg:China/GD/IMG_5045,China/GD,China,0.9183,0.2129,0.0369,1,riceseg,unassigned
IMG_5045_subset_overlap_3_2,segmentation/China/GD/rgb/IMG_5045_subset_overlap_3_2.jpg,reproductive,China/GD/IMG_5045,riceseg:China/GD/IMG_5045,China/GD,China,0.9323,0.2104,0.0456,1,riceseg,unassigned
IMG_5045_subset_overlap_3_5,segmentation/China/GD/rgb/IMG_5045_subset_overlap_3_5.jpg,reproductive,China/GD/IMG_5045,riceseg:China/GD/IMG_5045,China/GD,China,0.9329,0.1688,0.0499,1,riceseg,unassigned
IMG_5045_subset_overlap_4_2,segmentation/China/GD/rgb/IMG_5045_subset_overlap_4_2.jpg,grain_filling,China/GD/IMG_5045,riceseg:China/GD/IMG_5045,China/GD,China,0.9161,0.2724,0.0539,1,riceseg,unassigned
IMG_5045_subset_overlap_4_4,segmentation/China/GD/rgb/IMG_5045_subset_overlap_4_4.jpg,grain_filling,China/GD/IMG_5045,riceseg:China/GD/IMG_5045,China/GD,China,0.8022,0.2164,0.1566,1,riceseg,unassigned
IMG_5046_subset_overlap_0_5,segmentation/China/GD/rgb/IMG_5046_subset_overlap_0_5.jpg,grain_filling,China/GD/IMG_5046,riceseg:China/GD/IMG_5046,China/GD,China,0.8817,0.1186,0.0562,1,riceseg,unassigned
IMG_5048_subset_overlap_0_4,segmentation/China/GD/rgb/IMG_5048_subset_overlap_0_4.jpg,reproductive,China/GD/IMG_5048,riceseg:China/GD/IMG_5048,China/GD,China,0.9641,0.0494,0.0095,1,riceseg,unassigned
IMG_5048_subset_overlap_1_6,segmentation/China/GD/rgb/IMG_5048_subset_overlap_1_6.jpg,grain_filling,China/GD/IMG_5048,riceseg:China/GD/IMG_5048,China/GD,China,0.9058,0.1271,0.0761,1,riceseg,unassigned
IMG_5049_subset_overlap_4_0,segmentation/China/GD/rgb/IMG_5049_subset_overlap_4_0.jpg,grain_filling,China/GD/IMG_5049,riceseg:China/GD/IMG_5049,China/GD,China,0.9126,0.288,0.1375,0,riceseg,unassigned
IMG_5049_subset_overlap_4_4,segmentation/China/GD/rgb/IMG_5049_subset_overlap_4_4.jpg,ripening,China/GD/IMG_5049,riceseg:China/GD/IMG_5049,China/GD,China,0.8575,0.2061,0.2035,1,riceseg,unassigned
IMG_5050_subset_overlap_0_2,segmentation/China/GD/rgb/IMG_5050_subset_overlap_0_2.jpg,reproductive,China/GD/IMG_5050,riceseg:China/GD/IMG_5050,China/GD,China,0.9323,0.1354,0.0299,1,riceseg,unassigned
IMG_5050_subset_overlap_1_0,segmentation/China/GD/rgb/IMG_5050_subset_overlap_1_0.jpg,reproductive,China/GD/IMG_5050,riceseg:China/GD/IMG_5050,China/GD,China,0.9491,0.1088,0.0338,1,riceseg,unassigned
IMG_5050_subset_overlap_4_3,segmentation/China/GD/rgb/IMG_5050_subset_overlap_4_3.jpg,grain_filling,China/GD/IMG_5050,riceseg:China/GD/IMG_5050,China/GD,China,0.952,0.241,0.0583,1,riceseg,unassigned
IMG_5051_subset_overlap_0_3,segmentation/China/GD/rgb/IMG_5051_subset_overlap_0_3.jpg,reproductive,China/GD/IMG_5051,riceseg:China/GD/IMG_5051,China/GD,China,0.9462,0.0985,0.016,1,riceseg,unassigned
IMG_5051_subset_overlap_2_3,segmentation/China/GD/rgb/IMG_5051_subset_overlap_2_3.jpg,reproductive,China/GD/IMG_5051,riceseg:China/GD/IMG_5051,China/GD,China,0.9484,0.2323,0.0282,1,riceseg,unassigned
IMG_5051_subset_overlap_2_5,segmentation/China/GD/rgb/IMG_5051_subset_overlap_2_5.jpg,reproductive,China/GD/IMG_5051,riceseg:China/GD/IMG_5051,China/GD,China,0.9529,0.1104,0.0397,1,riceseg,unassigned
IMG_5051_subset_overlap_2_6,segmentation/China/GD/rgb/IMG_5051_subset_overlap_2_6.jpg,reproductive,China/GD/IMG_5051,riceseg:China/GD/IMG_5051,China/GD,China,0.9517,0.1269,0.0142,1,riceseg,unassigned
IMG_5051_subset_overlap_4_0,segmentation/China/GD/rgb/IMG_5051_subset_overlap_4_0.jpg,grain_filling,China/GD/IMG_5051,riceseg:China/GD/IMG_5051,China/GD,China,0.9131,0.2313,0.0533,1,riceseg,unassigned
IMG_5051_subset_overlap_4_4,segmentation/China/GD/rgb/IMG_5051_subset_overlap_4_4.jpg,grain_filling,China/GD/IMG_5051,riceseg:China/GD/IMG_5051,China/GD,China,0.794,0.068,0.1783,1,riceseg,unassigned
IMG_5051_subset_overlap_4_5,segmentation/China/GD/rgb/IMG_5051_subset_overlap_4_5.jpg,grain_filling,China/GD/IMG_5051,riceseg:China/GD/IMG_5051,China/GD,China,0.8209,0.0876,0.147,0,riceseg,unassigned
IMG_5053_subset_overlap_0_2,segmentation/China/GD/rgb/IMG_5053_subset_overlap_0_2.jpg,reproductive,China/GD/IMG_5053,riceseg:China/GD/IMG_5053,China/GD,China,0.9706,0.1762,0.0062,1,riceseg,unassigned
IMG_5054_subset_overlap_0_4,segmentation/China/GD/rgb/IMG_5054_subset_overlap_0_4.jpg,reproductive,China/GD/IMG_5054,riceseg:China/GD/IMG_5054,China/GD,China,0.9696,0.1438,0.0319,1,riceseg,unassigned
IMG_5054_subset_overlap_4_3,segmentation/China/GD/rgb/IMG_5054_subset_overlap_4_3.jpg,ripening,China/GD/IMG_5054,riceseg:China/GD/IMG_5054,China/GD,China,0.7701,0.1361,0.2273,1,riceseg,unassigned
IMG_5058_subset_overlap_1_1,segmentation/China/GD/rgb/IMG_5058_subset_overlap_1_1.jpg,reproductive,China/GD/IMG_5058,riceseg:China/GD/IMG_5058,China/GD,China,0.9495,0.1794,0.0139,1,riceseg,unassigned
IMG_5058_subset_overlap_1_6,segmentation/China/GD/rgb/IMG_5058_subset_overlap_1_6.jpg,reproductive,China/GD/IMG_5058,riceseg:China/GD/IMG_5058,China/GD,China,0.9833,0.0672,0.0224,1,riceseg,unassigned
IMG_5058_subset_overlap_2_2,segmentation/China/GD/rgb/IMG_5058_subset_overlap_2_2.jpg,grain_filling,China/GD/IMG_5058,riceseg:China/GD/IMG_5058,China/GD,China,0.9486,0.1257,0.0693,1,riceseg,unassigned
IMG_5059_subset_overlap_0_1,segmentation/China/GD/rgb/IMG_5059_subset_overlap_0_1.jpg,reproductive,China/GD/IMG_5059,riceseg:China/GD/IMG_5059,China/GD,China,0.9734,0.0773,0.0118,1,riceseg,unassigned
IMG_5059_subset_overlap_0_2,segmentation/China/GD/rgb/IMG_5059_subset_overlap_0_2.jpg,reproductive,China/GD/IMG_5059,riceseg:China/GD/IMG_5059,China/GD,China,0.9694,0.0622,0.0236,1,riceseg,unassigned
IMG_5060_subset_overlap_4_2,segmentation/China/GD/rgb/IMG_5060_subset_overlap_4_2.jpg,ripening,China/GD/IMG_5060,riceseg:China/GD/IMG_5060,China/GD,China,0.8474,0.1182,0.285,0,riceseg,unassigned
IMG_5064_subset_overlap_0_2,segmentation/China/GD/rgb/IMG_5064_subset_overlap_0_2.jpg,reproductive,China/GD/IMG_5064,riceseg:China/GD/IMG_5064,China/GD,China,0.9681,0.0729,0.046,1,riceseg,unassigned
IMG_5072_subset_overlap_1_1,segmentation/China/GD/rgb/IMG_5072_subset_overlap_1_1.jpg,grain_filling,China/GD/IMG_5072,riceseg:China/GD/IMG_5072,China/GD,China,0.9525,0.1568,0.0808,1,riceseg,unassigned
IMG_5073_subset_overlap_0_2,segmentation/China/GD/rgb/IMG_5073_subset_overlap_0_2.jpg,ripening,China/GD/IMG_5073,riceseg:China/GD/IMG_5073,China/GD,China,0.8115,0.246,0.2984,0,riceseg,unassigned
IMG_5074_subset_overlap_1_1,segmentation/China/GD/rgb/IMG_5074_subset_overlap_1_1.jpg,ripening,China/GD/IMG_5074,riceseg:China/GD/IMG_5074,China/GD,China,0.8679,0.1842,0.3866,0,riceseg,unassigned
IMG_5074_subset_overlap_4_4,segmentation/China/GD/rgb/IMG_5074_subset_overlap_4_4.jpg,grain_filling,China/GD/IMG_5074,riceseg:China/GD/IMG_5074,China/GD,China,0.8998,0.1861,0.1954,1,riceseg,unassigned
IMG_5075_subset_overlap_0_1,segmentation/China/GD/rgb/IMG_5075_subset_overlap_0_1.jpg,reproductive,China/GD/IMG_5075,riceseg:China/GD/IMG_5075,China/GD,China,0.9876,0.2461,0.0185,1,riceseg,unassigned
IMG_5081_subset_overlap_2_2,segmentation/China/GD/rgb/IMG_5081_subset_overlap_2_2.jpg,reproductive,China/GD/IMG_5081,riceseg:China/GD/IMG_5081,China/GD,China,0.9802,0.3685,0.0121,1,riceseg,unassigned
IMG_5081_subset_overlap_2_6,segmentation/China/GD/rgb/IMG_5081_subset_overlap_2_6.jpg,grain_filling,China/GD/IMG_5081,riceseg:China/GD/IMG_5081,China/GD,China,0.9489,0.3346,0.0783,1,riceseg,unassigned
IMG_5082_subset_overlap_2_4,segmentation/China/GD/rgb/IMG_5082_subset_overlap_2_4.jpg,grain_filling,China/GD/IMG_5082,riceseg:China/GD/IMG_5082,China/GD,China,0.9216,0.3075,0.0634,1,riceseg,unassigned
IMG_5087_subset_overlap_4_6,segmentation/China/GD/rgb/IMG_5087_subset_overlap_4_6.jpg,grain_filling,China/GD/IMG_5087,riceseg:China/GD/IMG_5087,China/GD,China,0.9324,0.2941,0.1483,0,riceseg,unassigned
IMG_5090_subset_overlap_2_5,segmentation/China/GD/rgb/IMG_5090_subset_overlap_2_5.jpg,grain_filling,China/GD/IMG_5090,riceseg:China/GD/IMG_5090,China/GD,China,0.942,0.4719,0.072,1,riceseg,unassigned
IMG_5104_subset_overlap_3_4,segmentation/China/GD/rgb/IMG_5104_subset_overlap_3_4.jpg,grain_filling,China/GD/IMG_5104,riceseg:China/GD/IMG_5104,China/GD,China,0.8872,0.1596,0.0653,1,riceseg,unassigned
IMG_5122_subset_overlap_4_5,segmentation/China/GD/rgb/IMG_5122_subset_overlap_4_5.jpg,grain_filling,China/GD/IMG_5122,riceseg:China/GD/IMG_5122,China/GD,China,0.9092,0.2851,0.1778,1,riceseg,unassigned
IMG_5140_subset_overlap_0_3,segmentation/China/GD/rgb/IMG_5140_subset_overlap_0_3.jpg,reproductive,China/GD/IMG_5140,riceseg:China/GD/IMG_5140,China/GD,China,0.9868,0.1294,0.0104,1,riceseg,unassigned
IMG_5140_subset_overlap_0_6,segmentation/China/GD/rgb/IMG_5140_subset_overlap_0_6.jpg,reproductive,China/GD/IMG_5140,riceseg:China/GD/IMG_5140,China/GD,China,0.9833,0.1276,0.0047,1,riceseg,unassigned
IMG_5140_subset_overlap_3_3,segmentation/China/GD/rgb/IMG_5140_subset_overlap_3_3.jpg,grain_filling,China/GD/IMG_5140,riceseg:China/GD/IMG_5140,China/GD,China,0.7516,0.2509,0.108,0,riceseg,unassigned
IMG_5141_subset_overlap_1_5,segmentation/China/GD/rgb/IMG_5141_subset_overlap_1_5.jpg,reproductive,China/GD/IMG_5141,riceseg:China/GD/IMG_5141,China/GD,China,0.984,0.1886,0.0137,1,riceseg,unassigned
IMG_5141_subset_overlap_2_1,segmentation/China/GD/rgb/IMG_5141_subset_overlap_2_1.jpg,reproductive,China/GD/IMG_5141,riceseg:China/GD/IMG_5141,China/GD,China,0.9823,0.3388,0.0389,1,riceseg,unassigned
IMG_5145_subset_overlap_1_6,segmentation/China/GD/rgb/IMG_5145_subset_overlap_1_6.jpg,reproductive,China/GD/IMG_5145,riceseg:China/GD/IMG_5145,China/GD,China,0.984,0.2088,0.0193,1,riceseg,unassigned
IMG_5145_subset_overlap_3_0,segmentation/China/GD/rgb/IMG_5145_subset_overlap_3_0.jpg,reproductive,China/GD/IMG_5145,riceseg:China/GD/IMG_5145,China/GD,China,0.9984,0.2331,0.0087,1,riceseg,unassigned
IMG_5145_subset_overlap_4_0,segmentation/China/GD/rgb/IMG_5145_subset_overlap_4_0.jpg,reproductive,China/GD/IMG_5145,riceseg:China/GD/IMG_5145,China/GD,China,0.9919,0.2028,0.0132,1,riceseg,unassigned
IMG_5146_subset_overlap_3_0,segmentation/China/GD/rgb/IMG_5146_subset_overlap_3_0.jpg,reproductive,China/GD/IMG_5146,riceseg:China/GD/IMG_5146,China/GD,China,0.9905,0.3356,0.019,1,riceseg,unassigned
IMG_5146_subset_overlap_3_1,segmentation/China/GD/rgb/IMG_5146_subset_overlap_3_1.jpg,reproductive,China/GD/IMG_5146,riceseg:China/GD/IMG_5146,China/GD,China,0.983,0.2542,0.0418,1,riceseg,unassigned
IMG_5151_subset_overlap_4_1,segmentation/China/GD/rgb/IMG_5151_subset_overlap_4_1.jpg,grain_filling,China/GD/IMG_5151,riceseg:China/GD/IMG_5151,China/GD,China,0.8559,0.2171,0.1033,0,riceseg,unassigned
IMG_5153_subset_overlap_3_2,segmentation/China/GD/rgb/IMG_5153_subset_overlap_3_2.jpg,grain_filling,China/GD/IMG_5153,riceseg:China/GD/IMG_5153,China/GD,China,0.857,0.225,0.1616,1,riceseg,unassigned
IMG_5154_subset_overlap_2_1,segmentation/China/GD/rgb/IMG_5154_subset_overlap_2_1.jpg,grain_filling,China/GD/IMG_5154,riceseg:China/GD/IMG_5154,China/GD,China,0.9734,0.2364,0.0653,1,riceseg,unassigned
IMG_5155_subset_overlap_2_6,segmentation/China/GD/rgb/IMG_5155_subset_overlap_2_6.jpg,reproductive,China/GD/IMG_5155,riceseg:China/GD/IMG_5155,China/GD,China,0.9775,0.268,0.0473,1,riceseg,unassigned
IMG_5156_subset_overlap_3_5,segmentation/China/GD/rgb/IMG_5156_subset_overlap_3_5.jpg,reproductive,China/GD/IMG_5156,riceseg:China/GD/IMG_5156,China/GD,China,0.9417,0.2885,0.0206,1,riceseg,unassigned
T0004_SD_20130430170631_01_subset_overlap_1_7,segmentation/China/GX/rgb/T0004_SD_20130430170631_01_subset_overlap_1_7.jpg,establishment,China/GX/T0004_SD_20130430170631_01,riceseg:China/GX/T0004_SD_20130430170631_01,China/GX,China,0.1684,0.0,0.0551,0,riceseg,unassigned
T0004_SD_20130430170631_01_subset_overlap_2_2,segmentation/China/GX/rgb/T0004_SD_20130430170631_01_subset_overlap_2_2.jpg,establishment,China/GX/T0004_SD_20130430170631_01,riceseg:China/GX/T0004_SD_20130430170631_01,China/GX,China,0.1696,0.0,0.0449,0,riceseg,unassigned
T0004_SD_20130430170631_01_subset_overlap_4_0,segmentation/China/GX/rgb/T0004_SD_20130430170631_01_subset_overlap_4_0.jpg,establishment,China/GX/T0004_SD_20130430170631_01,riceseg:China/GX/T0004_SD_20130430170631_01,China/GX,China,0.1392,0.0,0.0494,0,riceseg,unassigned
T0004_SD_20130430170631_01_subset_overlap_4_8,segmentation/China/GX/rgb/T0004_SD_20130430170631_01_subset_overlap_4_8.jpg,establishment,China/GX/T0004_SD_20130430170631_01,riceseg:China/GX/T0004_SD_20130430170631_01,China/GX,China,0.1298,0.0,0.052,0,riceseg,unassigned
T0004_SD_20130430170631_01_subset_overlap_7_1,segmentation/China/GX/rgb/T0004_SD_20130430170631_01_subset_overlap_7_1.jpg,establishment,China/GX/T0004_SD_20130430170631_01,riceseg:China/GX/T0004_SD_20130430170631_01,China/GX,China,0.1341,0.0,0.146,0,riceseg,unassigned
T0004_SD_20130430170631_01_subset_overlap_7_9,segmentation/China/GX/rgb/T0004_SD_20130430170631_01_subset_overlap_7_9.jpg,establishment,China/GX/T0004_SD_20130430170631_01,riceseg:China/GX/T0004_SD_20130430170631_01,China/GX,China,0.1373,0.0,0.1285,0,riceseg,unassigned
T0004_SD_20130430170631_01_subset_overlap_8_4,segmentation/China/GX/rgb/T0004_SD_20130430170631_01_subset_overlap_8_4.jpg,establishment,China/GX/T0004_SD_20130430170631_01,riceseg:China/GX/T0004_SD_20130430170631_01,China/GX,China,0.1262,0.0,0.1044,0,riceseg,unassigned
T0004_SD_20130502110632_02_subset_overlap_2_11,segmentation/China/GX/rgb/T0004_SD_20130502110632_02_subset_overlap_2_11.jpg,establishment,China/GX/T0004_SD_20130502110632_02,riceseg:China/GX/T0004_SD_20130502110632_02,China/GX,China,0.1261,0.0,0.0543,0,riceseg,unassigned
T0004_SD_20130502110632_02_subset_overlap_2_3,segmentation/China/GX/rgb/T0004_SD_20130502110632_02_subset_overlap_2_3.jpg,establishment,China/GX/T0004_SD_20130502110632_02,riceseg:China/GX/T0004_SD_20130502110632_02,China/GX,China,0.1756,0.0,0.0645,0,riceseg,unassigned
T0004_SD_20130502110632_02_subset_overlap_5_12,segmentation/China/GX/rgb/T0004_SD_20130502110632_02_subset_overlap_5_12.jpg,establishment,China/GX/T0004_SD_20130502110632_02,riceseg:China/GX/T0004_SD_20130502110632_02,China/GX,China,0.1191,0.0,0.0954,0,riceseg,unassigned
T0004_SD_20130502110632_02_subset_overlap_6_7,segmentation/China/GX/rgb/T0004_SD_20130502110632_02_subset_overlap_6_7.jpg,establishment,China/GX/T0004_SD_20130502110632_02,riceseg:China/GX/T0004_SD_20130502110632_02,China/GX,China,0.1409,0.0,0.1603,0,riceseg,unassigned
