image_id,image_path,parent_image_id,field_id,capture_session,capture_date,season,variety,days_after_sowing,bbch_code,macro_stage,source,license,annotator_1,annotator_2,adjudicated_label,split
00815_subset_overlap_0_0,02_tillering/00815_subset_overlap_0_0.jpg,tillering:unknown:00815,tillering:unknown:00815,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00815_subset_overlap_0_1,02_tillering/00815_subset_overlap_0_1.jpg,tillering:unknown:00815,tillering:unknown:00815,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00815_subset_overlap_1_0,02_tillering/00815_subset_overlap_1_0.jpg,tillering:unknown:00815,tillering:unknown:00815,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00815_subset_overlap_1_1,02_tillering/00815_subset_overlap_1_1.jpg,tillering:unknown:00815,tillering:unknown:00815,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00831_subset_overlap_0_0,02_tillering/00831_subset_overlap_0_0.jpg,tillering:unknown:00831,tillering:unknown:00831,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00831_subset_overlap_0_1,02_tillering/00831_subset_overlap_0_1.jpg,tillering:unknown:00831,tillering:unknown:00831,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00831_subset_overlap_1_0,02_tillering/00831_subset_overlap_1_0.jpg,tillering:unknown:00831,tillering:unknown:00831,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00831_subset_overlap_1_1,02_tillering/00831_subset_overlap_1_1.jpg,tillering:unknown:00831,tillering:unknown:00831,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00842_subset_overlap_0_0,02_tillering/00842_subset_overlap_0_0.jpg,tillering:unknown:00842,tillering:unknown:00842,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00842_subset_overlap_0_1,02_tillering/00842_subset_overlap_0_1.jpg,tillering:unknown:00842,tillering:unknown:00842,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00842_subset_overlap_1_0,02_tillering/00842_subset_overlap_1_0.jpg,tillering:unknown:00842,tillering:unknown:00842,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00842_subset_overlap_1_1,02_tillering/00842_subset_overlap_1_1.jpg,tillering:unknown:00842,tillering:unknown:00842,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00853_subset_overlap_0_0,02_tillering/00853_subset_overlap_0_0.jpg,tillering:unknown:00853,tillering:unknown:00853,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00853_subset_overlap_0_1,02_tillering/00853_subset_overlap_0_1.jpg,tillering:unknown:00853,tillering:unknown:00853,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00853_subset_overlap_1_0,02_tillering/00853_subset_overlap_1_0.jpg,tillering:unknown:00853,tillering:unknown:00853,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00853_subset_overlap_1_1,02_tillering/00853_subset_overlap_1_1.jpg,tillering:unknown:00853,tillering:unknown:00853,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00864_subset_overlap_0_0,02_tillering/00864_subset_overlap_0_0.jpg,tillering:unknown:00864,tillering:unknown:00864,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00864_subset_overlap_0_1,02_tillering/00864_subset_overlap_0_1.jpg,tillering:unknown:00864,tillering:unknown:00864,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00864_subset_overlap_1_0,02_tillering/00864_subset_overlap_1_0.jpg,tillering:unknown:00864,tillering:unknown:00864,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00864_subset_overlap_1_1,02_tillering/00864_subset_overlap_1_1.jpg,tillering:unknown:00864,tillering:unknown:00864,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00875_subset_overlap_0_1,02_tillering/00875_subset_overlap_0_1.jpg,tillering:unknown:00875,tillering:unknown:00875,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00875_subset_overlap_1_0,02_tillering/00875_subset_overlap_1_0.jpg,tillering:unknown:00875,tillering:unknown:00875,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00875_subset_overlap_1_1,02_tillering/00875_subset_overlap_1_1.jpg,tillering:unknown:00875,tillering:unknown:00875,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00891_subset_overlap_0_0,02_tillering/00891_subset_overlap_0_0.jpg,tillering:unknown:00891,tillering:unknown:00891,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00891_subset_overlap_0_1,02_tillering/00891_subset_overlap_0_1.jpg,tillering:unknown:00891,tillering:unknown:00891,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00891_subset_overlap_1_0,02_tillering/00891_subset_overlap_1_0.jpg,tillering:unknown:00891,tillering:unknown:00891,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00891_subset_overlap_1_1,02_tillering/00891_subset_overlap_1_1.jpg,tillering:unknown:00891,tillering:unknown:00891,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00902_subset_overlap_0_0,02_tillering/00902_subset_overlap_0_0.jpg,tillering:unknown:00902,tillering:unknown:00902,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00902_subset_overlap_0_1,02_tillering/00902_subset_overlap_0_1.jpg,tillering:unknown:00902,tillering:unknown:00902,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00902_subset_overlap_1_0,02_tillering/00902_subset_overlap_1_0.jpg,tillering:unknown:00902,tillering:unknown:00902,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00902_subset_overlap_1_1,02_tillering/00902_subset_overlap_1_1.jpg,tillering:unknown:00902,tillering:unknown:00902,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00913_subset_overlap_0_0,02_tillering/00913_subset_overlap_0_0.jpg,tillering:unknown:00913,tillering:unknown:00913,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00913_subset_overlap_0_1,02_tillering/00913_subset_overlap_0_1.jpg,tillering:unknown:00913,tillering:unknown:00913,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00913_subset_overlap_1_0,02_tillering/00913_subset_overlap_1_0.jpg,tillering:unknown:00913,tillering:unknown:00913,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00913_subset_overlap_1_1,02_tillering/00913_subset_overlap_1_1.jpg,tillering:unknown:00913,tillering:unknown:00913,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00924_subset_overlap_0_0,02_tillering/00924_subset_overlap_0_0.jpg,tillering:unknown:00924,tillering:unknown:00924,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00924_subset_overlap_0_1,02_tillering/00924_subset_overlap_0_1.jpg,tillering:unknown:00924,tillering:unknown:00924,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00924_subset_overlap_1_0,02_tillering/00924_subset_overlap_1_0.jpg,tillering:unknown:00924,tillering:unknown:00924,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00924_subset_overlap_1_1,02_tillering/00924_subset_overlap_1_1.jpg,tillering:unknown:00924,tillering:unknown:00924,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00935_subset_overlap_0_0,02_tillering/00935_subset_overlap_0_0.jpg,tillering:unknown:00935,tillering:unknown:00935,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00935_subset_overlap_0_1,02_tillering/00935_subset_overlap_0_1.jpg,tillering:unknown:00935,tillering:unknown:00935,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00935_subset_overlap_1_0,02_tillering/00935_subset_overlap_1_0.jpg,tillering:unknown:00935,tillering:unknown:00935,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00935_subset_overlap_1_1,02_tillering/00935_subset_overlap_1_1.jpg,tillering:unknown:00935,tillering:unknown:00935,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00951_subset_overlap_0_0,02_tillering/00951_subset_overlap_0_0.jpg,tillering:unknown:00951,tillering:unknown:00951,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00951_subset_overlap_0_1,02_tillering/00951_subset_overlap_0_1.jpg,tillering:unknown:00951,tillering:unknown:00951,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00951_subset_overlap_1_0,02_tillering/00951_subset_overlap_1_0.jpg,tillering:unknown:00951,tillering:unknown:00951,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00951_subset_overlap_1_1,02_tillering/00951_subset_overlap_1_1.jpg,tillering:unknown:00951,tillering:unknown:00951,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00962_subset_overlap_0_0,02_tillering/00962_subset_overlap_0_0.jpg,tillering:unknown:00962,tillering:unknown:00962,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00962_subset_overlap_0_1,02_tillering/00962_subset_overlap_0_1.jpg,tillering:unknown:00962,tillering:unknown:00962,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00962_subset_overlap_1_0,02_tillering/00962_subset_overlap_1_0.jpg,tillering:unknown:00962,tillering:unknown:00962,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00962_subset_overlap_1_1,02_tillering/00962_subset_overlap_1_1.jpg,tillering:unknown:00962,tillering:unknown:00962,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00973_subset_overlap_0_0,02_tillering/00973_subset_overlap_0_0.jpg,tillering:unknown:00973,tillering:unknown:00973,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00973_subset_overlap_0_1,02_tillering/00973_subset_overlap_0_1.jpg,tillering:unknown:00973,tillering:unknown:00973,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00973_subset_overlap_1_0,02_tillering/00973_subset_overlap_1_0.jpg,tillering:unknown:00973,tillering:unknown:00973,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00973_subset_overlap_1_1,02_tillering/00973_subset_overlap_1_1.jpg,tillering:unknown:00973,tillering:unknown:00973,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00984_subset_overlap_0_0,02_tillering/00984_subset_overlap_0_0.jpg,tillering:unknown:00984,tillering:unknown:00984,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00984_subset_overlap_0_1,02_tillering/00984_subset_overlap_0_1.jpg,tillering:unknown:00984,tillering:unknown:00984,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00984_subset_overlap_1_0,02_tillering/00984_subset_overlap_1_0.jpg,tillering:unknown:00984,tillering:unknown:00984,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00984_subset_overlap_1_1,02_tillering/00984_subset_overlap_1_1.jpg,tillering:unknown:00984,tillering:unknown:00984,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00995_subset_overlap_0_0,02_tillering/00995_subset_overlap_0_0.jpg,tillering:unknown:00995,tillering:unknown:00995,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00995_subset_overlap_0_1,02_tillering/00995_subset_overlap_0_1.jpg,tillering:unknown:00995,tillering:unknown:00995,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00995_subset_overlap_1_0,02_tillering/00995_subset_overlap_1_0.jpg,tillering:unknown:00995,tillering:unknown:00995,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00995_subset_overlap_1_1,02_tillering/00995_subset_overlap_1_1.jpg,tillering:unknown:00995,tillering:unknown:00995,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
01011_subset_overlap_0_0,02_tillering/01011_subset_overlap_0_0.jpg,tillering:unknown:01011,tillering:unknown:01011,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01011_subset_overlap_0_1,02_tillering/01011_subset_overlap_0_1.jpg,tillering:unknown:01011,tillering:unknown:01011,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01011_subset_overlap_1_0,02_tillering/01011_subset_overlap_1_0.jpg,tillering:unknown:01011,tillering:unknown:01011,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01011_subset_overlap_1_1,02_tillering/01011_subset_overlap_1_1.jpg,tillering:unknown:01011,tillering:unknown:01011,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01022_subset_overlap_0_0,02_tillering/01022_subset_overlap_0_0.jpg,tillering:unknown:01022,tillering:unknown:01022,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01022_subset_overlap_0_1,02_tillering/01022_subset_overlap_0_1.jpg,tillering:unknown:01022,tillering:unknown:01022,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01022_subset_overlap_1_0,02_tillering/01022_subset_overlap_1_0.jpg,tillering:unknown:01022,tillering:unknown:01022,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01022_subset_overlap_1_1,02_tillering/01022_subset_overlap_1_1.jpg,tillering:unknown:01022,tillering:unknown:01022,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01033_subset_overlap_0_0,02_tillering/01033_subset_overlap_0_0.jpg,tillering:unknown:01033,tillering:unknown:01033,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01033_subset_overlap_0_1,02_tillering/01033_subset_overlap_0_1.jpg,tillering:unknown:01033,tillering:unknown:01033,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01033_subset_overlap_1_0,02_tillering/01033_subset_overlap_1_0.jpg,tillering:unknown:01033,tillering:unknown:01033,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01033_subset_overlap_1_1,02_tillering/01033_subset_overlap_1_1.jpg,tillering:unknown:01033,tillering:unknown:01033,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01044_subset_overlap_0_0,02_tillering/01044_subset_overlap_0_0.jpg,tillering:unknown:01044,tillering:unknown:01044,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01044_subset_overlap_0_1,02_tillering/01044_subset_overlap_0_1.jpg,tillering:unknown:01044,tillering:unknown:01044,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01044_subset_overlap_1_0,02_tillering/01044_subset_overlap_1_0.jpg,tillering:unknown:01044,tillering:unknown:01044,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01044_subset_overlap_1_1,02_tillering/01044_subset_overlap_1_1.jpg,tillering:unknown:01044,tillering:unknown:01044,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01071_subset_overlap_0_0,02_tillering/01071_subset_overlap_0_0.jpg,tillering:unknown:01071,tillering:unknown:01071,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01071_subset_overlap_0_1,02_tillering/01071_subset_overlap_0_1.jpg,tillering:unknown:01071,tillering:unknown:01071,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01071_subset_overlap_1_0,02_tillering/01071_subset_overlap_1_0.jpg,tillering:unknown:01071,tillering:unknown:01071,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01071_subset_overlap_1_1,02_tillering/01071_subset_overlap_1_1.jpg,tillering:unknown:01071,tillering:unknown:01071,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01082_subset_overlap_0_0,02_tillering/01082_subset_overlap_0_0.jpg,tillering:unknown:01082,tillering:unknown:01082,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01082_subset_overlap_0_1,02_tillering/01082_subset_overlap_0_1.jpg,tillering:unknown:01082,tillering:unknown:01082,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01082_subset_overlap_1_0,02_tillering/01082_subset_overlap_1_0.jpg,tillering:unknown:01082,tillering:unknown:01082,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01082_subset_overlap_1_1,02_tillering/01082_subset_overlap_1_1.jpg,tillering:unknown:01082,tillering:unknown:01082,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01093_subset_overlap_0_0,02_tillering/01093_subset_overlap_0_0.jpg,tillering:unknown:01093,tillering:unknown:01093,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01093_subset_overlap_0_1,02_tillering/01093_subset_overlap_0_1.jpg,tillering:unknown:01093,tillering:unknown:01093,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01093_subset_overlap_1_0,02_tillering/01093_subset_overlap_1_0.jpg,tillering:unknown:01093,tillering:unknown:01093,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01093_subset_overlap_1_1,02_tillering/01093_subset_overlap_1_1.jpg,tillering:unknown:01093,tillering:unknown:01093,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01104_subset_overlap_0_0,02_tillering/01104_subset_overlap_0_0.jpg,tillering:unknown:01104,tillering:unknown:01104,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01104_subset_overlap_0_1,02_tillering/01104_subset_overlap_0_1.jpg,tillering:unknown:01104,tillering:unknown:01104,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01104_subset_overlap_1_0,02_tillering/01104_subset_overlap_1_0.jpg,tillering:unknown:01104,tillering:unknown:01104,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01104_subset_overlap_1_1,02_tillering/01104_subset_overlap_1_1.jpg,tillering:unknown:01104,tillering:unknown:01104,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01115_subset_overlap_0_0,02_tillering/01115_subset_overlap_0_0.jpg,tillering:unknown:01115,tillering:unknown:01115,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01115_subset_overlap_0_1,02_tillering/01115_subset_overlap_0_1.jpg,tillering:unknown:01115,tillering:unknown:01115,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01115_subset_overlap_1_0,02_tillering/01115_subset_overlap_1_0.jpg,tillering:unknown:01115,tillering:unknown:01115,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01115_subset_overlap_1_1,02_tillering/01115_subset_overlap_1_1.jpg,tillering:unknown:01115,tillering:unknown:01115,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01131_subset_overlap_0_0,02_tillering/01131_subset_overlap_0_0.jpg,tillering:unknown:01131,tillering:unknown:01131,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
01131_subset_overlap_0_1,02_tillering/01131_subset_overlap_0_1.jpg,tillering:unknown:01131,tillering:unknown:01131,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
01131_subset_overlap_1_0,02_tillering/01131_subset_overlap_1_0.jpg,tillering:unknown:01131,tillering:unknown:01131,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
01131_subset_overlap_1_1,02_tillering/01131_subset_overlap_1_1.jpg,tillering:unknown:01131,tillering:unknown:01131,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
01142_subset_overlap_0_0,02_tillering/01142_subset_overlap_0_0.jpg,tillering:unknown:01142,tillering:unknown:01142,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01142_subset_overlap_0_1,02_tillering/01142_subset_overlap_0_1.jpg,tillering:unknown:01142,tillering:unknown:01142,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01142_subset_overlap_1_0,02_tillering/01142_subset_overlap_1_0.jpg,tillering:unknown:01142,tillering:unknown:01142,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
01142_subset_overlap_1_1,02_tillering/01142_subset_overlap_1_1.jpg,tillering:unknown:01142,tillering:unknown:01142,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
02721_subset_overlap_0_0,02_tillering/02721_subset_overlap_0_0.jpg,tillering:unknown:02721,tillering:unknown:02721,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
02721_subset_overlap_0_1,02_tillering/02721_subset_overlap_0_1.jpg,tillering:unknown:02721,tillering:unknown:02721,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
02721_subset_overlap_1_0,02_tillering/02721_subset_overlap_1_0.jpg,tillering:unknown:02721,tillering:unknown:02721,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
02721_subset_overlap_1_1,02_tillering/02721_subset_overlap_1_1.jpg,tillering:unknown:02721,tillering:unknown:02721,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03051_subset_overlap_0_0,02_tillering/03051_subset_overlap_0_0.jpg,tillering:unknown:03051,tillering:unknown:03051,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03051_subset_overlap_0_1,02_tillering/03051_subset_overlap_0_1.jpg,tillering:unknown:03051,tillering:unknown:03051,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03051_subset_overlap_1_0,02_tillering/03051_subset_overlap_1_0.jpg,tillering:unknown:03051,tillering:unknown:03051,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03051_subset_overlap_1_1,02_tillering/03051_subset_overlap_1_1.jpg,tillering:unknown:03051,tillering:unknown:03051,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03062_subset_overlap_0_0,02_tillering/03062_subset_overlap_0_0.jpg,tillering:unknown:03062,tillering:unknown:03062,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03062_subset_overlap_0_1,02_tillering/03062_subset_overlap_0_1.jpg,tillering:unknown:03062,tillering:unknown:03062,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03062_subset_overlap_1_0,02_tillering/03062_subset_overlap_1_0.jpg,tillering:unknown:03062,tillering:unknown:03062,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03062_subset_overlap_1_1,02_tillering/03062_subset_overlap_1_1.jpg,tillering:unknown:03062,tillering:unknown:03062,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03073_subset_overlap_0_0,02_tillering/03073_subset_overlap_0_0.jpg,tillering:unknown:03073,tillering:unknown:03073,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
03073_subset_overlap_0_1,02_tillering/03073_subset_overlap_0_1.jpg,tillering:unknown:03073,tillering:unknown:03073,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
